id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Frederick;Feeney;Aubree.Schaden@yahoo.com;Cambridgeshire Mississippi;2020-01-08T13:44:15;85994;60754
2;Marilou;Dach;Aniyah_Ankunding96@yahoo.com;cross-platform access;2020-01-08T12:30:29;23089;68423
3;Dayne;Kessler;Bonita_Monahan@hotmail.com;Salad;2020-01-08T05:28:01;25877;18223
4;Makayla;Roob;Hermann54@gmail.com;Chair Facilitator;2020-01-07T20:14:57;44975;93949
5;Golda;Tremblay;Laverna.Reinger8@hotmail.com;sky blue Tasty Plastic Pizza;2020-01-08T05:31:27;74732;27134
6;Kameron;Shields;Fletcher60@yahoo.com;bifurcated scalable;2020-01-08T10:53:09;7455;1563
7;Wyman;Jones;Godfrey0@hotmail.com;overriding;2020-01-07T21:53:16;71134;72900
8;Patsy;Russel;April_Walter@yahoo.com;Internal;2020-01-07T18:27:06;62329;44945
9;Eryn;Boyer;Gabriel.Hagenes66@gmail.com;New York tangible Mississippi;2020-01-08T05:39:44;11959;97171
10;Meta;Stanton;Mireille77@hotmail.com;Avon;2020-01-08T02:18:24;71066;42754
